Wiggle_Index,Date,Time,Genotype,Pesticide,Dose,Rep,Location
4.2036,02Mar21,0min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowLeft
6.6234,02Mar21,0min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowLeft
5.6829,02Mar21,0min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,LowLeft
5.4413,02Mar21,0min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowLeft
6.781,02Mar21,0min,TB > Cyp6g1,Malathion,40ppm,rep1,LowLeft
5.1015,02Mar21,0min,TB > Cyp6g1,Malathion,40ppm,rep2,LowLeft
6.6932,02Mar21,0min,TB > NULL,Bendiocarb,50ppm,rep1,LowLeft
5.666,02Mar21,0min,TB > NULL,Bendiocarb,50ppm,rep2,LowLeft
5.2529,02Mar21,0min,TB > NULL,Imidacloprid,40ppm,rep1,LowLeft
4.8517,02Mar21,0min,TB > NULL,Imidacloprid,40ppm,rep2,LowLeft
5.6596,02Mar21,0min,TB > NULL,Malathion,40ppm,rep1,LowLeft
6.0476,02Mar21,0min,TB > NULL,Malathion,40ppm,rep2,LowLeft
0.9152,02Mar21,120min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowLeft
2.1082,02Mar21,120min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowLeft
4.2158,02Mar21,120min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,LowLeft
4.663,02Mar21,120min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowLeft
1.9817,02Mar21,120min,TB > Cyp6g1,Malathion,40ppm,rep1,LowLeft
0.7629,02Mar21,120min,TB > Cyp6g1,Malathion,40ppm,rep2,LowLeft
2.8144,02Mar21,120min,TB > NULL,Bendiocarb,50ppm,rep1,LowLeft
1.0683,02Mar21,120min,TB > NULL,Bendiocarb,50ppm,rep2,LowLeft
2.8038,02Mar21,120min,TB > NULL,Imidacloprid,40ppm,rep1,LowLeft
2.2102,02Mar21,120min,TB > NULL,Imidacloprid,40ppm,rep2,LowLeft
0.8389,02Mar21,120min,TB > NULL,Malathion,40ppm,rep1,LowLeft
1.5687,02Mar21,120min,TB > NULL,Malathion,40ppm,rep2,LowLeft
2.0234,02Mar21,15min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowLeft
2.1424,02Mar21,15min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowLeft
3.4085,02Mar21,15min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,LowLeft
3.1428,02Mar21,15min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowLeft
7.2529,02Mar21,15min,TB > Cyp6g1,Malathion,40ppm,rep1,LowLeft
6.3794,02Mar21,15min,TB > Cyp6g1,Malathion,40ppm,rep2,LowLeft
5.7292,02Mar21,15min,TB > NULL,Bendiocarb,50ppm,rep1,LowLeft
58.8373,02Mar21,15min,TB > NULL,Bendiocarb,50ppm,rep2,LowLeft
3.1031,02Mar21,15min,TB > NULL,Imidacloprid,40ppm,rep1,LowLeft
3.189,02Mar21,15min,TB > NULL,Imidacloprid,40ppm,rep2,LowLeft
3.9646,02Mar21,15min,TB > NULL,Malathion,40ppm,rep1,LowLeft
7.2896,02Mar21,15min,TB > NULL,Malathion,40ppm,rep2,LowLeft
0.9604,02Mar21,30min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowLeft
1.0215,02Mar21,30min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowLeft
4.2203,02Mar21,30min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,LowLeft
4.4912,02Mar21,30min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowLeft
6.1948,02Mar21,30min,TB > Cyp6g1,Malathion,40ppm,rep1,LowLeft
6.4657,02Mar21,30min,TB > Cyp6g1,Malathion,40ppm,rep2,LowLeft
1.3371,02Mar21,30min,TB > NULL,Bendiocarb,50ppm,rep1,LowLeft
3.2839,02Mar21,30min,TB > NULL,Bendiocarb,50ppm,rep2,LowLeft
3.0145,02Mar21,30min,TB > NULL,Imidacloprid,40ppm,rep1,LowLeft
1.3543,02Mar21,30min,TB > NULL,Imidacloprid,40ppm,rep2,LowLeft
2.788,02Mar21,30min,TB > NULL,Malathion,40ppm,rep1,LowLeft
3.4091,02Mar21,30min,TB > NULL,Malathion,40ppm,rep2,LowLeft
0.9601,02Mar21,45min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowLeft
1.6541,02Mar21,45min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowLeft
4.1182,02Mar21,45min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,LowLeft
3.8155,02Mar21,45min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowLeft
2.955,02Mar21,45min,TB > Cyp6g1,Malathion,40ppm,rep1,LowLeft
3.4518,02Mar21,45min,TB > Cyp6g1,Malathion,40ppm,rep2,LowLeft
1.2417,02Mar21,45min,TB > NULL,Bendiocarb,50ppm,rep1,LowLeft
2.7336,02Mar21,45min,TB > NULL,Bendiocarb,50ppm,rep2,LowLeft
3.1578,02Mar21,45min,TB > NULL,Imidacloprid,40ppm,rep1,LowLeft
1.6137,02Mar21,45min,TB > NULL,Imidacloprid,40ppm,rep2,LowLeft
1.5596,02Mar21,45min,TB > NULL,Malathion,40ppm,rep1,LowLeft
4.3046,02Mar21,45min,TB > NULL,Malathion,40ppm,rep2,LowLeft
15.1227,02Mar21,5min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowLeft
44.4531,02Mar21,5min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowLeft
31.5257,02Mar21,5min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,LowLeft
31.3246,02Mar21,5min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowLeft
34.1701,02Mar21,5min,TB > Cyp6g1,Malathion,40ppm,rep1,LowLeft
48.5049,02Mar21,5min,TB > Cyp6g1,Malathion,40ppm,rep2,LowLeft
21.7041,02Mar21,5min,TB > NULL,Bendiocarb,50ppm,rep1,LowLeft
9.6866,02Mar21,5min,TB > NULL,Bendiocarb,50ppm,rep2,LowLeft
32.3735,02Mar21,5min,TB > NULL,Imidacloprid,40ppm,rep1,LowLeft
27.6286,02Mar21,5min,TB > NULL,Imidacloprid,40ppm,rep2,LowLeft
21.8082,02Mar21,5min,TB > NULL,Malathion,40ppm,rep1,LowLeft
30.5876,02Mar21,5min,TB > NULL,Malathion,40ppm,rep2,LowLeft
2.3885,02Mar21,60min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowLeft
3.2131,02Mar21,60min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowLeft
6.1003,02Mar21,60min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowLeft
3.0369,02Mar21,60min,TB > Cyp6g1,Malathion,40ppm,rep2,LowLeft
2.9188,02Mar21,60min,TB > NULL,Bendiocarb,50ppm,rep1,LowLeft
1.8389,02Mar21,60min,TB > NULL,Bendiocarb,50ppm,rep2,LowLeft
3.4267,02Mar21,60min,TB > NULL,Imidacloprid,40ppm,rep1,LowLeft
2.7136,02Mar21,60min,TB > NULL,Imidacloprid,40ppm,rep2,LowLeft
1.1493,02Mar21,60min,TB > NULL,Malathion,40ppm,rep1,LowLeft
3.1896,02Mar21,60min,TB > NULL,Malathion,40ppm,rep2,LowLeft
1.2633,02Mar21,90min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowLeft
3.37,02Mar21,90min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowLeft
5.4926,02Mar21,90min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,LowLeft
5.5998,02Mar21,90min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowLeft
2.8716,02Mar21,90min,TB > Cyp6g1,Malathion,40ppm,rep1,LowLeft
0.9289,02Mar21,90min,TB > Cyp6g1,Malathion,40ppm,rep2,LowLeft
2.4057,02Mar21,90min,TB > NULL,Bendiocarb,50ppm,rep1,LowLeft
1.1411,02Mar21,90min,TB > NULL,Bendiocarb,50ppm,rep2,LowLeft
2.5125,02Mar21,90min,TB > NULL,Imidacloprid,40ppm,rep1,LowLeft
2.3524,02Mar21,90min,TB > NULL,Imidacloprid,40ppm,rep2,LowLeft
0.8735,02Mar21,90min,TB > NULL,Malathion,40ppm,rep1,LowLeft
0.9195,02Mar21,90min,TB > NULL,Malathion,40ppm,rep2,LowLeft
4.0607,02Mar21,0min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowRight
4.8682,02Mar21,0min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowRight
1.8553,02Mar21,0min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,LowRight
4.8228,02Mar21,0min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowRight
