Set,Cyp6g1,Rep,Normalized RLU,Repeat,Genotype
Midgut,Hikone-R,1,233623.37,2,Hikone-R x Midgut
Midgut,Hikone-R,2,133742.57,2,Hikone-R x Midgut
Midgut,Hikone-R,3,120529.6,2,Hikone-R x Midgut
Midgut,Hikone-R,4,117225.2,2,Hikone-R x Midgut
Midgut,Tissue Specific,1,74994.94,2,Tissue Specific x Midgut
Midgut,Tissue Specific,2,282601.59,2,Tissue Specific x Midgut
Midgut,Tissue Specific,3,145037.82,2,Tissue Specific x Midgut
Midgut,Tissue Specific,4,260517.66,2,Tissue Specific x Midgut
Fat Body,Hikone-R,1,2047658.7,2,Hikone-R x Fat Body
Fat Body,Hikone-R,2,2583596.5,2,Hikone-R x Fat Body
Fat Body,Hikone-R,3,4455520,2,Hikone-R x Fat Body
Tubules,Hikone-R,1,997879.4,2,Hikone-R x Tubules
Tubules,Hikone-R,2,1244972,2,Hikone-R x Tubules
Tubules,Hikone-R,3,776610.1,2,Hikone-R x Tubules
Fat Body,Tissue Specific,1,2032758.4,2,Tissue Specific x Fat Body
Fat Body,Tissue Specific,2,2186681.2,2,Tissue Specific x Fat Body
Fat Body,Tissue Specific,3,1748343.5,2,Tissue Specific x Fat Body
Tubules,Tissue Specific,1,153346.8,2,Tissue Specific x Tubules
Tubules,Tissue Specific,2,105131.9,2,Tissue Specific x Tubules
Tubules,Tissue Specific,3,236102.1,2,Tissue Specific x Tubules
Midgut,Hikone-R,1,3292262.16666667,1,Hikone-R x Midgut
Midgut,Hikone-R,2,14497910.5,1,Hikone-R x Midgut
Midgut,Hikone-R,3,2779947.33333333,1,Hikone-R x Midgut
Midgut,Hikone-R,4,3974250,1,Hikone-R x Midgut
Tubules,Hikone-R,1,6236737.16666667,1,Hikone-R x Tubules
Tubules,Hikone-R,2,9108577,1,Hikone-R x Tubules
Tubules,Hikone-R,3,10529396.5,1,Hikone-R x Tubules
Tubules,Hikone-R,4,9679084.83333333,1,Hikone-R x Tubules
Fat Body,Hikone-R,1,16991576,1,Hikone-R x Fat Body
Fat Body,Hikone-R,2,13657232.6666667,1,Hikone-R x Fat Body
Fat Body,Hikone-R,3,3770332.33333333,1,Hikone-R x Fat Body
Fat Body,Hikone-R,4,15773985.1666667,1,Hikone-R x Fat Body
Midgut,Tissue Specific,1,2783434.5,1,Tissue Specific x Midgut
Midgut,Tissue Specific,2,13102449.1666667,1,Tissue Specific x Midgut
Midgut,Tissue Specific,3,3295467,1,Tissue Specific x Midgut
Midgut,Tissue Specific,4,3278964.5,1,Tissue Specific x Midgut
Tubules,Tissue Specific,1,1291675.66666667,1,Tissue Specific x Tubules
Tubules,Tissue Specific,2,906882.666666667,1,Tissue Specific x Tubules
Tubules,Tissue Specific,3,5037158.5,1,Tissue Specific x Tubules
Tubules,Tissue Specific,4,5009766.5,1,Tissue Specific x Tubules
Fat Body,Tissue Specific,1,10415624.3333333,1,Tissue Specific x Fat Body
Fat Body,Tissue Specific,2,7901602.33333333,1,Tissue Specific x Fat Body
Fat Body,Tissue Specific,3,10419184.1666667,1,Tissue Specific x Fat Body
Fat Body,Tissue Specific,4,11085815.5,1,Tissue Specific x Fat Body
